"CSF1PO_alleles","CSF1P0_prob","FGA_alleles","FGA_prob","TH01_alleles","TH01_prob","TPOX_alleles","TPOX_prob","VWA_alleles","VWA_prob","D3S1358_alleles","D3S1358_prob","D5S818_alleles","D5S818_prob","D7S820_alleles","D7S820_prob","D8S1179_alleles","D8S1179_prob","D13S317_alleles","D13S317_prob","D16S539_alleles","D16S539_prob","D18S51_alleles","D18S51_prob","D21S11_alleles","D21S11_prob"
,,"27.1","0",,,,,,,,,,,,,,,,,,,"26","0","32.3","0"
,,"27.2","0",,,,,,,,,,,,,,,,,,,"27","0","33","0"
,,"27.3","0",,,,,,,,,,,,,,,,,,,"28.1","0","33.1","0"
,,"28","0",,,,,,,,,,,,,,,,,,,"28.3","0","33.2","0.03061"
,,"28.1","0",,,,,,,,,,,,,,,,,,,"39.2(40)","0","33.2p","0"
,,"28.2","0",,,,,,,,,,,,,,,,,,,,,"33.2pp","0"
,,"29","0",,,,,,,,,,,,,,,,,,,,,"33.3","0"
,,"29.1","0",,,,,,,,,,,,,,,,,,,,,"34","0"
,,"29.2","0",,,,,,,,,,,,,,,,,,,,,"34p","0"
,,"30","0",,,,,,,,,,,,,,,,,,,,,"34.1","0"
,,"30.2","0",,,,,,,,,,,,,,,,,,,,,"34.2","0"
,,"31","0",,,,,,,,,,,,,,,,,,,,,"34.3","0"
,,"31.2","0",,,,,,,,,,,,,,,,,,,,,"35","0"
,,"32","0",,,,,,,,,,,,,,,,,,,,,"35p","0"
,,"32.1","0",,,,,,,,,,,,,,,,,,,,,"35.1","0"
,,"32.2","0",,,,,,,,,,,,,,,,,,,,,"35.2","0.00255"
,,"33.1","0",,,,,,,,,,,,,,,,,,,,,"35.3","0"
,,"33.2","0",,,,,,,,,,,,,,,,,,,,,"36","0"
,,"34.1","0",,,,,,,,,,,,,,,,,,,,,"36p","0"
,,"34.2","0",,,,,,,,,,,,,,,,,,,,,"36.1","0"
,,"35.2","0",,,,,,,,,,,,,,,,,,,,,"36.2","0"
,,"41.1","0",,,,,,,,,,,,,,,,,,,,,"37","0"
,,"41.2","0",,,,,,,,,,,,,,,,,,,,,"37p","0"
,,"42","0",,,,,,,,,,,,,,,,,,,,,"37.2","0"
,,"42.1","0",,,,,,,,,,,,,,,,,,,,,"37.2p","0"
,,"42.2","0",,,,,,,,,,,,,,,,,,,,,"37.2pp","0"
,,"43.1","0",,,,,,,,,,,,,,,,,,,,,"37.2ppp","0"
,,"43.2","0",,,,,,,,,,,,,,,,,,,,,"37.2pppp","0"
,,"44","0",,,,,,,,,,,,,,,,,,,,,"38","0"
,,"44.2","0",,,,,,,,,,,,,,,,,,,,,"38p","0"
,,"44.3","0",,,,,,,,,,,,,,,,,,,,,"38pp","0"
,,"45","0",,,,,,,,,,,,,,,,,,,,,"38ppp","0"
,,"45.1","0",,,,,,,,,,,,,,,,,,,,,"38.2","0"
,,"45.2","0",,,,,,,,,,,,,,,,,,,,,"38.2p","0"
,,"46","0",,,,,,,,,,,,,,,,,,,,,"38.2pp","0"
,,"47","0",,,,,,,,,,,,,,,,,,,,,"39","0"
,,"47.2","0",,,,,,,,,,,,,,,,,,,,,"39.2","0"
,,"48","0",,,,,,,,,,,,,,,,,,,,,"39.2p","0"
,,"48.2","0",,,,,,,,,,,,,,,,,,,,,"40.2","0"
,,"49","0",,,,,,,,,,,,,,,,,,,,,"41.2","0"
,,"49.1","0",,,,,,,,,,,,,,,,,,,,,,
,,"49.2","0",,,,,,,,,,,,,,,,,,,,,,
,,"50.2","0",,,,,,,,,,,,,,,,,,,,,,
,,"50.3","0",,,,,,,,,,,,,,,,,,,,,,
,,"51","0",,,,,,,,,,,,,,,,,,,,,,
,,"51.2","0",,,,,,,,,,,,,,,,,,,,,,
